,year,month,hour,value
0,2025,4,0,-11166.405033333334
1,2025,4,1,-16748.659033333333
2,2025,4,2,-24720.0
3,2025,4,3,-28304.932099999998
4,2025,4,4,-34800.0
5,2025,4,5,-30812.395133333335
6,2025,4,6,22636.81
7,2025,4,7,19086.22333333333
8,2025,4,8,0.0
9,2025,4,9,0.0
10,2025,4,10,0.0
11,2025,4,11,-2320.0
12,2025,4,12,-2320.0
13,2025,4,13,-1160.0
14,2025,4,14,0.0
15,2025,4,15,0.0
16,2025,4,16,15049.4
17,2025,4,17,13820.033333333333
18,2025,4,18,15227.083333333334
19,2025,4,19,11929.166666666666
20,2025,4,20,19576.683333333334
21,2025,4,21,21612.1
22,2025,4,22,0.0
23,2025,4,23,-6614.999766666666
24,2025,5,0,-11450.322580645161
25,2025,5,1,-17651.612903225807
26,2025,5,2,-23922.58064516129
27,2025,5,3,-28784.179516129032
28,2025,5,4,-33637.65777419355
29,2025,5,5,-31160.23841935484
30,2025,5,6,25050.09677419355
31,2025,5,7,15311.070967741936
32,2025,5,8,0.0
33,2025,5,9,0.0
34,2025,5,10,0.0
35,2025,5,11,-2322.5806451612902
36,2025,5,12,-2400.0
37,2025,5,13,-1161.2903225806451
38,2025,5,14,0.0
39,2025,5,15,0.0
40,2025,5,16,18096.58064516129
41,2025,5,17,16634.3064516129
42,2025,5,18,11203.241935483871
43,2025,5,19,17654.854838709678
44,2025,5,20,14193.548387096775
45,2025,5,21,20793.800000000003
46,2025,5,22,0.0
47,2025,5,23,-6476.928225806451
48,2025,6,0,-11042.372233333333
49,2025,6,1,-15808.0
50,2025,6,2,-23731.652133333333
51,2025,6,3,-30517.82606666667
52,2025,6,4,-33557.82606666667
53,2025,6,5,-31006.019066666668
54,2025,6,6,18831.94
55,2025,6,7,15573.8
56,2025,6,8,0.0
57,2025,6,9,0.0
58,2025,6,10,0.0
59,2025,6,11,-2320.0
60,2025,6,12,-2400.0
61,2025,6,13,-1080.0
62,2025,6,14,0.0
63,2025,6,15,0.0
64,2025,6,16,14694.642666666668
65,2025,6,17,21117.95
66,2025,6,18,16000.0
67,2025,6,19,13262.5
68,2025,6,20,16158.750666666667
69,2025,6,21,23297.916666666668
70,2025,6,22,0.0
71,2025,6,23,-7503.6955
72,2025,7,0,0.0
73,2025,7,1,0.0
74,2025,7,2,-6379.354838709677
75,2025,7,3,-26657.334967741936
76,2025,7,4,-32191.682999999997
77,2025,7,5,-29409.509096774193
78,2025,7,6,-27904.754548387096
79,2025,7,7,-17400.0
80,2025,7,8,-14400.0
81,2025,7,9,0.0
82,2025,7,10,0.0
83,2025,7,11,-2379.5932580645162
84,2025,7,12,-2245.1612903225805
85,2025,7,13,0.0
86,2025,7,14,0.0
87,2025,7,15,0.0
88,2025,7,16,13171.370967741936
89,2025,7,17,11475.806451612903
90,2025,7,18,7604.8387096774195
91,2025,7,19,5092.741935483871
92,2025,7,20,40000.0
93,2025,7,21,40000.0
94,2025,7,22,8078.629032258064
95,2025,7,23,13514.112903225807
96,2025,8,0,0.0
97,2025,8,1,0.0
98,2025,8,2,-4784.5161290322585
99,2025,8,3,-26539.102129032257
100,2025,8,4,-32114.26364516129
101,2025,8,5,-31200.0
