,power_opt,time
2025-05-01 00:00:00,-906.382,2025-05-01 00:00:00
2025-05-01 00:05:00,-846.392,2025-05-01 00:05:00
2025-05-01 00:10:00,-902.362,2025-05-01 00:10:00
2025-05-01 00:15:00,-874.382,2025-05-01 00:15:00
2025-05-01 00:20:00,-842.382,2025-05-01 00:20:00
2025-05-01 00:25:00,-874.392,2025-05-01 00:25:00
2025-05-01 00:30:00,-898.382,2025-05-01 00:30:00
2025-05-01 00:35:00,-966.382,2025-05-01 00:35:00
2025-05-01 00:40:00,-858.332,2025-05-01 00:40:00
2025-05-01 00:45:00,-974.372,2025-05-01 00:45:00
2025-05-01 00:50:00,-954.382,2025-05-01 00:50:00
2025-05-01 00:55:00,-970.352,2025-05-01 00:55:00
2025-05-01 01:00:00,-898.362,2025-05-01 01:00:00
2025-05-01 01:05:00,-950.332,2025-05-01 01:05:00
2025-05-01 01:10:00,-882.352,2025-05-01 01:10:00
2025-05-01 01:15:00,-854.372,2025-05-01 01:15:00
2025-05-01 01:20:00,-962.342,2025-05-01 01:20:00
2025-05-01 01:25:00,-930.372,2025-05-01 01:25:00
2025-05-01 01:30:00,-918.352,2025-05-01 01:30:00
2025-05-01 01:35:00,-966.352,2025-05-01 01:35:00
2025-05-01 01:40:00,-922.342,2025-05-01 01:40:00
2025-05-01 01:45:00,-954.392,2025-05-01 01:45:00
2025-05-01 01:50:00,-1014.382,2025-05-01 01:50:00
2025-05-01 01:55:00,-954.362,2025-05-01 01:55:00
2025-05-01 02:00:00,-1042.352,2025-05-01 02:00:00
2025-05-01 02:05:00,-1022.362,2025-05-01 02:05:00
2025-05-01 02:10:00,-1114.372,2025-05-01 02:10:00
2025-05-01 02:15:00,-1014.352,2025-05-01 02:15:00
2025-05-01 02:20:00,-1042.332,2025-05-01 02:20:00
2025-05-01 02:25:00,-1006.382,2025-05-01 02:25:00
2025-05-01 02:30:00,-1062.362,2025-05-01 02:30:00
2025-05-01 02:35:00,-1146.352,2025-05-01 02:35:00
2025-05-01 02:40:00,-1190.382,2025-05-01 02:40:00
2025-05-01 02:45:00,-1074.332,2025-05-01 02:45:00
2025-05-01 02:50:00,-958.362,2025-05-01 02:50:00
2025-05-01 02:55:00,-938.362,2025-05-01 02:55:00
2025-05-01 03:00:00,-882.382,2025-05-01 03:00:00
2025-05-01 03:05:00,-974.372,2025-05-01 03:05:00
2025-05-01 03:10:00,-822.412,2025-05-01 03:10:00
2025-05-01 03:15:00,-898.392,2025-05-01 03:15:00
2025-05-01 03:20:00,-966.332,2025-05-01 03:20:00
2025-05-01 03:25:00,-886.362,2025-05-01 03:25:00
2025-05-01 03:30:00,-914.392,2025-05-01 03:30:00
2025-05-01 03:35:00,-986.372,2025-05-01 03:35:00
2025-05-01 03:40:00,-926.382,2025-05-01 03:40:00
2025-05-01 03:45:00,-918.392,2025-05-01 03:45:00
2025-05-01 03:50:00,-942.382,2025-05-01 03:50:00
2025-05-01 03:55:00,-922.372,2025-05-01 03:55:00
2025-05-01 04:00:00,-926.382,2025-05-01 04:00:00
2025-05-01 04:05:00,-962.372,2025-05-01 04:05:00
2025-05-01 04:10:00,-958.372,2025-05-01 04:10:00
2025-05-01 04:15:00,-1186.372,2025-05-01 04:15:00
2025-05-01 04:20:00,-1222.372,2025-05-01 04:20:00
2025-05-01 04:25:00,-970.352,2025-05-01 04:25:00
2025-05-01 04:30:00,-946.362,2025-05-01 04:30:00
2025-05-01 04:35:00,-906.392,2025-05-01 04:35:00
2025-05-01 04:40:00,-950.392,2025-05-01 04:40:00
2025-05-01 04:45:00,-938.312,2025-05-01 04:45:00
2025-05-01 04:50:00,-930.362,2025-05-01 04:50:00
2025-05-01 04:55:00,-1026.352,2025-05-01 04:55:00
2025-05-01 05:00:00,-938.402,2025-05-01 05:00:00
2025-05-01 05:05:00,-922.352,2025-05-01 05:05:00
2025-05-01 05:10:00,-886.362,2025-05-01 05:10:00
2025-05-01 05:15:00,-950.392,2025-05-01 05:15:00
2025-05-01 05:20:00,-982.372,2025-05-01 05:20:00
2025-05-01 05:25:00,-962.382,2025-05-01 05:25:00
2025-05-01 05:30:00,-962.352,2025-05-01 05:30:00
2025-05-01 05:35:00,-998.392,2025-05-01 05:35:00
2025-05-01 05:40:00,-1106.352,2025-05-01 05:40:00
2025-05-01 05:45:00,-1034.352,2025-05-01 05:45:00
2025-05-01 05:50:00,-1082.362,2025-05-01 05:50:00
2025-05-01 05:55:00,-1026.352,2025-05-01 05:55:00
2025-05-01 06:00:00,-1054.332,2025-05-01 06:00:00
2025-05-01 06:05:00,-1150.382,2025-05-01 06:05:00
2025-05-01 06:10:00,-1066.372,2025-05-01 06:10:00
2025-05-01 06:15:00,-1066.372,2025-05-01 06:15:00
2025-05-01 06:20:00,-1142.352,2025-05-01 06:20:00
2025-05-01 06:25:00,-1062.332,2025-05-01 06:25:00
2025-05-01 06:30:00,-1154.352,2025-05-01 06:30:00
2025-05-01 06:35:00,-1246.372,2025-05-01 06:35:00
2025-05-01 06:40:00,-1202.352,2025-05-01 06:40:00
2025-05-01 06:45:00,-1182.372,2025-05-01 06:45:00
2025-05-01 06:50:00,-1202.382,2025-05-01 06:50:00
2025-05-01 06:55:00,-1262.372,2025-05-01 06:55:00
2025-05-01 07:00:00,-1198.402,2025-05-01 07:00:00
2025-05-01 07:05:00,-1234.402,2025-05-01 07:05:00
2025-05-01 07:10:00,-1126.362,2025-05-01 07:10:00
2025-05-01 07:15:00,-1182.362,2025-05-01 07:15:00
2025-05-01 07:20:00,-1246.342,2025-05-01 07:20:00
2025-05-01 07:25:00,-1198.362,2025-05-01 07:25:00
2025-05-01 07:30:00,-1266.372,2025-05-01 07:30:00
2025-05-01 07:35:00,-1198.362,2025-05-01 07:35:00
2025-05-01 07:40:00,-1230.342,2025-05-01 07:40:00
2025-05-01 07:45:00,-1146.342,2025-05-01 07:45:00
2025-05-01 07:50:00,-1302.352,2025-05-01 07:50:00
2025-05-01 07:55:00,-1286.402,2025-05-01 07:55:00
2025-05-01 08:00:00,9000.0,2025-05-01 08:00:00
2025-05-01 08:05:00,9000.0,2025-05-01 08:05:00
2025-05-01 08:10:00,9000.0,2025-05-01 08:10:00
2025-05-01 08:15:00,9000.0,2025-05-01 08:15:00
2025-05-01 08:20:00,9000.0,2025-05-01 08:20:00
2025-05-01 08:25:00,9000.0,2025-05-01 08:25:00
2025-05-01 08:30:00,9000.0,2025-05-01 08:30:00
2025-05-01 08:35:00,9000.0,2025-05-01 08:35:00
2025-05-01 08:40:00,9000.0,2025-05-01 08:40:00
2025-05-01 08:45:00,9000.0,2025-05-01 08:45:00
2025-05-01 08:50:00,9000.0,2025-05-01 08:50:00
2025-05-01 08:55:00,9000.0,2025-05-01 08:55:00
2025-05-01 09:00:00,9000.0,2025-05-01 09:00:00
2025-05-01 09:05:00,9000.0,2025-05-01 09:05:00
2025-05-01 09:10:00,7105.097,2025-05-01 09:10:00
2025-05-01 09:15:00,0.0,2025-05-01 09:15:00
2025-05-01 09:20:00,0.0,2025-05-01 09:20:00
2025-05-01 09:25:00,0.0,2025-05-01 09:25:00
2025-05-01 09:30:00,0.0,2025-05-01 09:30:00
2025-05-01 09:35:00,0.0,2025-05-01 09:35:00
2025-05-01 09:40:00,0.0,2025-05-01 09:40:00
2025-05-01 09:45:00,0.0,2025-05-01 09:45:00
2025-05-01 09:50:00,0.0,2025-05-01 09:50:00
2025-05-01 09:55:00,0.0,2025-05-01 09:55:00
2025-05-01 10:00:00,0.0,2025-05-01 10:00:00
2025-05-01 10:05:00,0.0,2025-05-01 10:05:00
2025-05-01 10:10:00,0.0,2025-05-01 10:10:00
2025-05-01 10:15:00,0.0,2025-05-01 10:15:00
2025-05-01 10:20:00,0.0,2025-05-01 10:20:00
2025-05-01 10:25:00,0.0,2025-05-01 10:25:00
2025-05-01 10:30:00,0.0,2025-05-01 10:30:00
2025-05-01 10:35:00,0.0,2025-05-01 10:35:00
2025-05-01 10:40:00,0.0,2025-05-01 10:40:00
2025-05-01 10:45:00,0.0,2025-05-01 10:45:00
2025-05-01 10:50:00,0.0,2025-05-01 10:50:00
2025-05-01 10:55:00,0.0,2025-05-01 10:55:00
2025-05-01 11:00:00,-1202.362,2025-05-01 11:00:00
2025-05-01 11:05:00,-1250.332,2025-05-01 11:05:00
2025-05-01 11:10:00,-1118.322,2025-05-01 11:10:00
2025-05-01 11:15:00,-1226.342,2025-05-01 11:15:00
2025-05-01 11:20:00,-1130.372,2025-05-01 11:20:00
2025-05-01 11:25:00,-1186.372,2025-05-01 11:25:00
2025-05-01 11:30:00,-1222.382,2025-05-01 11:30:00
2025-05-01 11:35:00,-1158.392,2025-05-01 11:35:00
2025-05-01 11:40:00,-1178.352,2025-05-01 11:40:00
2025-05-01 11:45:00,-1274.372,2025-05-01 11:45:00
2025-05-01 11:50:00,-1238.352,2025-05-01 11:50:00
2025-05-01 11:55:00,-1270.312,2025-05-01 11:55:00
2025-05-01 12:00:00,-1114.352,2025-05-01 12:00:00
2025-05-01 12:05:00,-1166.392,2025-05-01 12:05:00
2025-05-01 12:10:00,-1086.382,2025-05-01 12:10:00
