,time,value
9216,2025-07-01 00:00:00,9658.42
9217,2025-07-01 00:05:00,9606.42
9218,2025-07-01 00:10:00,9530.4
9219,2025-07-01 00:15:00,9542.44
9220,2025-07-01 00:20:00,9534.41
9221,2025-07-01 00:25:00,9486.5
9222,2025-07-01 00:30:00,9486.42
9223,2025-07-01 00:35:00,9462.46
9224,2025-07-01 00:40:00,9414.4
9225,2025-07-01 00:45:00,9494.4
9226,2025-07-01 00:50:00,9438.45
9227,2025-07-01 00:55:00,9466.43
9228,2025-07-01 01:00:00,9450.42
9229,2025-07-01 01:05:00,9482.45
9230,2025-07-01 01:10:00,9438.39
9231,2025-07-01 01:15:00,9434.43
9232,2025-07-01 01:20:00,9454.46
9233,2025-07-01 01:25:00,9386.42
9234,2025-07-01 01:30:00,9470.42
9235,2025-07-01 01:35:00,9450.43
9236,2025-07-01 01:40:00,9406.41
9237,2025-07-01 01:45:00,9370.41
9238,2025-07-01 01:50:00,9350.4
9239,2025-07-01 01:55:00,9426.39
9240,2025-07-01 02:00:00,9430.46
9241,2025-07-01 02:05:00,9334.44
9242,2025-07-01 02:10:00,9306.41
9243,2025-07-01 02:15:00,9386.46
9244,2025-07-01 02:20:00,9362.42
9245,2025-07-01 02:25:00,9406.41
9246,2025-07-01 02:30:00,9298.43
9247,2025-07-01 02:35:00,9314.41
9248,2025-07-01 02:40:00,9306.42
9249,2025-07-01 02:45:00,9278.43
9250,2025-07-01 02:50:00,9310.42
9251,2025-07-01 02:55:00,9314.45
9252,2025-07-01 03:00:00,9338.39
9253,2025-07-01 03:05:00,9278.42
9254,2025-07-01 03:10:00,9282.4
9255,2025-07-01 03:15:00,9334.41
9256,2025-07-01 03:20:00,9342.39
9257,2025-07-01 03:25:00,9358.43
9258,2025-07-01 03:30:00,9326.42
9259,2025-07-01 03:35:00,9310.4
9260,2025-07-01 03:40:00,9230.41
9261,2025-07-01 03:45:00,9350.46
9262,2025-07-01 03:50:00,9338.44
9263,2025-07-01 03:55:00,9286.43
9264,2025-07-01 04:00:00,9270.42
9265,2025-07-01 04:05:00,9274.42
9266,2025-07-01 04:10:00,9250.42
9267,2025-07-01 04:15:00,9266.43
9268,2025-07-01 04:20:00,9218.46
9269,2025-07-01 04:25:00,9222.42
9270,2025-07-01 04:30:00,9186.43
9271,2025-07-01 04:35:00,9226.42
9272,2025-07-01 04:40:00,9230.42
9273,2025-07-01 04:45:00,9234.42
9274,2025-07-01 04:50:00,9110.41
9275,2025-07-01 04:55:00,9174.45
9276,2025-07-01 05:00:00,9246.44
9277,2025-07-01 05:05:00,9222.4
9278,2025-07-01 05:10:00,9230.41
9279,2025-07-01 05:15:00,9266.42
9280,2025-07-01 05:20:00,9230.45
9281,2025-07-01 05:25:00,9226.42
9282,2025-07-01 05:30:00,9226.4
9283,2025-07-01 05:35:00,9174.41
9284,2025-07-01 05:40:00,9150.4
9285,2025-07-01 05:45:00,9218.42
9286,2025-07-01 05:50:00,9230.39
9287,2025-07-01 05:55:00,9134.41
9288,2025-07-01 06:00:00,9258.44
9289,2025-07-01 06:05:00,9358.4
9290,2025-07-01 06:10:00,9334.49
9291,2025-07-01 06:15:00,9182.42
9292,2025-07-01 06:20:00,9118.47
9293,2025-07-01 06:25:00,9198.43
9294,2025-07-01 06:30:00,9142.4
9295,2025-07-01 06:35:00,9190.42
9296,2025-07-01 06:40:00,9234.42
9297,2025-07-01 06:45:00,9162.42
9298,2025-07-01 06:50:00,9182.42
9299,2025-07-01 06:55:00,9126.39
9300,2025-07-01 07:00:00,9174.41
9301,2025-07-01 07:05:00,9110.41
9302,2025-07-01 07:10:00,9190.4
9303,2025-07-01 07:15:00,9122.41
9304,2025-07-01 07:20:00,9310.44
9305,2025-07-01 07:25:00,9354.4
9306,2025-07-01 07:30:00,9366.43
9307,2025-07-01 07:35:00,9346.43
9308,2025-07-01 07:40:00,9410.45
9309,2025-07-01 07:45:00,9218.42
9310,2025-07-01 07:50:00,9162.41
9311,2025-07-01 07:55:00,9146.38
9312,2025-07-01 08:00:00,9142.41
9313,2025-07-01 08:05:00,9186.41
9314,2025-07-01 08:10:00,9222.44
9315,2025-07-01 08:15:00,9170.39
9316,2025-07-01 08:20:00,9286.42
9317,2025-07-01 08:25:00,9174.4
