,time,value
9216,2025-05-01 00:00:00,10998.33
9217,2025-05-01 00:05:00,11058.32
9218,2025-05-01 00:10:00,11002.35
9219,2025-05-01 00:15:00,11030.33
9220,2025-05-01 00:20:00,11062.33
9221,2025-05-01 00:25:00,11030.32
9222,2025-05-01 00:30:00,11006.33
9223,2025-05-01 00:35:00,10938.33
9224,2025-05-01 00:40:00,11046.38
9225,2025-05-01 00:45:00,10930.34
9226,2025-05-01 00:50:00,10950.33
9227,2025-05-01 00:55:00,10934.36
9228,2025-05-01 01:00:00,11006.35
9229,2025-05-01 01:05:00,10954.38
9230,2025-05-01 01:10:00,11022.36
9231,2025-05-01 01:15:00,11050.34
9232,2025-05-01 01:20:00,10942.37
9233,2025-05-01 01:25:00,10974.34
9234,2025-05-01 01:30:00,10986.36
9235,2025-05-01 01:35:00,10938.36
9236,2025-05-01 01:40:00,10982.37
9237,2025-05-01 01:45:00,10950.32
9238,2025-05-01 01:50:00,10890.33
9239,2025-05-01 01:55:00,10950.35
9240,2025-05-01 02:00:00,10862.36
9241,2025-05-01 02:05:00,10882.35
9242,2025-05-01 02:10:00,10790.34
9243,2025-05-01 02:15:00,10890.36
9244,2025-05-01 02:20:00,10862.38
9245,2025-05-01 02:25:00,10898.33
9246,2025-05-01 02:30:00,10842.35
9247,2025-05-01 02:35:00,10758.36
9248,2025-05-01 02:40:00,10714.33
9249,2025-05-01 02:45:00,10830.38
9250,2025-05-01 02:50:00,10946.35
9251,2025-05-01 02:55:00,10966.35
9252,2025-05-01 03:00:00,11022.33
9253,2025-05-01 03:05:00,10930.34
9254,2025-05-01 03:10:00,11082.3
9255,2025-05-01 03:15:00,11006.32
9256,2025-05-01 03:20:00,10938.38
9257,2025-05-01 03:25:00,11018.35
9258,2025-05-01 03:30:00,10990.32
9259,2025-05-01 03:35:00,10918.34
9260,2025-05-01 03:40:00,10978.33
9261,2025-05-01 03:45:00,10986.32
9262,2025-05-01 03:50:00,10962.33
9263,2025-05-01 03:55:00,10982.34
9264,2025-05-01 04:00:00,10978.33
9265,2025-05-01 04:05:00,10942.34
9266,2025-05-01 04:10:00,10946.34
9267,2025-05-01 04:15:00,10718.34
9268,2025-05-01 04:20:00,10682.34
9269,2025-05-01 04:25:00,10934.36
9270,2025-05-01 04:30:00,10958.35
9271,2025-05-01 04:35:00,10998.32
9272,2025-05-01 04:40:00,10954.32
9273,2025-05-01 04:45:00,10966.4
9274,2025-05-01 04:50:00,10974.35
9275,2025-05-01 04:55:00,10878.36
9276,2025-05-01 05:00:00,10966.31
9277,2025-05-01 05:05:00,10982.36
9278,2025-05-01 05:10:00,11018.35
9279,2025-05-01 05:15:00,10954.32
9280,2025-05-01 05:20:00,10922.34
9281,2025-05-01 05:25:00,10942.33
9282,2025-05-01 05:30:00,10942.36
9283,2025-05-01 05:35:00,10906.32
9284,2025-05-01 05:40:00,10798.36
9285,2025-05-01 05:45:00,10870.36
9286,2025-05-01 05:50:00,10822.35
9287,2025-05-01 05:55:00,10878.36
9288,2025-05-01 06:00:00,10850.38
9289,2025-05-01 06:05:00,10754.33
9290,2025-05-01 06:10:00,10838.34
9291,2025-05-01 06:15:00,10838.34
9292,2025-05-01 06:20:00,10762.36
9293,2025-05-01 06:25:00,10842.38
9294,2025-05-01 06:30:00,10750.36
9295,2025-05-01 06:35:00,10658.34
9296,2025-05-01 06:40:00,10702.36
9297,2025-05-01 06:45:00,10722.34
9298,2025-05-01 06:50:00,10702.33
9299,2025-05-01 06:55:00,10642.34
9300,2025-05-01 07:00:00,10706.31
9301,2025-05-01 07:05:00,10670.31
9302,2025-05-01 07:10:00,10778.35
9303,2025-05-01 07:15:00,10722.35
9304,2025-05-01 07:20:00,10658.37
9305,2025-05-01 07:25:00,10706.35
9306,2025-05-01 07:30:00,10638.34
9307,2025-05-01 07:35:00,10706.35
9308,2025-05-01 07:40:00,10674.37
9309,2025-05-01 07:45:00,10758.37
9310,2025-05-01 07:50:00,10602.36
9311,2025-05-01 07:55:00,10618.31
9312,2025-05-01 08:00:00,10682.37
9313,2025-05-01 08:05:00,10654.34
9314,2025-05-01 08:10:00,10666.38
9315,2025-05-01 08:15:00,10678.36
9316,2025-05-01 08:20:00,10606.36
9317,2025-05-01 08:25:00,10698.36
9318,2025-05-01 08:30:00,10718.36
9319,2025-05-01 08:35:00,10598.33
9320,2025-05-01 08:40:00,10658.35
9321,2025-05-01 08:45:00,10750.36
9322,2025-05-01 08:50:00,10778.32
9323,2025-05-01 08:55:00,10666.34
9324,2025-05-01 09:00:00,10718.33
9325,2025-05-01 09:05:00,10758.36
9326,2025-05-01 09:10:00,10890.36
9327,2025-05-01 09:15:00,10806.34
9328,2025-05-01 09:20:00,10778.37
9329,2025-05-01 09:25:00,10822.33
9330,2025-05-01 09:30:00,10870.36
9331,2025-05-01 09:35:00,10818.39
9332,2025-05-01 09:40:00,10702.35
9333,2025-05-01 09:45:00,10822.41
9334,2025-05-01 09:50:00,10734.32
9335,2025-05-01 09:55:00,10754.34
9336,2025-05-01 10:00:00,10730.35
9337,2025-05-01 10:05:00,10666.34
9338,2025-05-01 10:10:00,10706.32
9339,2025-05-01 10:15:00,10682.35
9340,2025-05-01 10:20:00,10410.33
9341,2025-05-01 10:25:00,10694.36
9342,2025-05-01 10:30:00,10542.38
9343,2025-05-01 10:35:00,10698.34
9344,2025-05-01 10:40:00,10830.33
9345,2025-05-01 10:45:00,10718.36
9346,2025-05-01 10:50:00,10682.31
9347,2025-05-01 10:55:00,10662.36
9348,2025-05-01 11:00:00,10702.35
9349,2025-05-01 11:05:00,10654.38
9350,2025-05-01 11:10:00,10786.39
9351,2025-05-01 11:15:00,10678.37
9352,2025-05-01 11:20:00,10774.34
9353,2025-05-01 11:25:00,10718.34
9354,2025-05-01 11:30:00,10682.33
9355,2025-05-01 11:35:00,10746.32
9356,2025-05-01 11:40:00,10726.36
9357,2025-05-01 11:45:00,10630.34
9358,2025-05-01 11:50:00,10666.36
9359,2025-05-01 11:55:00,10634.4
9360,2025-05-01 12:00:00,10790.36
9361,2025-05-01 12:05:00,10738.32
9362,2025-05-01 12:10:00,10818.33
9363,2025-05-01 12:15:00,10878.37
9364,2025-05-01 12:20:00,10758.37
9365,2025-05-01 12:25:00,10726.31
9366,2025-05-01 12:30:00,10730.36
9367,2025-05-01 12:35:00,10754.35
9368,2025-05-01 12:40:00,10958.33
9369,2025-05-01 12:45:00,11070.37
