,time,value,type
9216,2025-05-01 00:00:00,0.1879,深谷
9217,2025-05-01 00:05:00,0.1879,深谷
9218,2025-05-01 00:10:00,0.1879,深谷
9219,2025-05-01 00:15:00,0.1879,深谷
9220,2025-05-01 00:20:00,0.1879,深谷
9221,2025-05-01 00:25:00,0.1879,深谷
9222,2025-05-01 00:30:00,0.1879,深谷
9223,2025-05-01 00:35:00,0.1879,深谷
9224,2025-05-01 00:40:00,0.1879,深谷
9225,2025-05-01 00:45:00,0.1879,深谷
9226,2025-05-01 00:50:00,0.1879,深谷
9227,2025-05-01 00:55:00,0.1879,深谷
9228,2025-05-01 01:00:00,0.1879,深谷
9229,2025-05-01 01:05:00,0.1879,深谷
9230,2025-05-01 01:10:00,0.1879,深谷
9231,2025-05-01 01:15:00,0.1879,深谷
9232,2025-05-01 01:20:00,0.1879,深谷
9233,2025-05-01 01:25:00,0.1879,深谷
9234,2025-05-01 01:30:00,0.1879,深谷
9235,2025-05-01 01:35:00,0.1879,深谷
9236,2025-05-01 01:40:00,0.1879,深谷
9237,2025-05-01 01:45:00,0.1879,深谷
9238,2025-05-01 01:50:00,0.1879,深谷
9239,2025-05-01 01:55:00,0.1879,深谷
9240,2025-05-01 02:00:00,0.1879,深谷
9241,2025-05-01 02:05:00,0.1879,深谷
9242,2025-05-01 02:10:00,0.1879,深谷
9243,2025-05-01 02:15:00,0.1879,深谷
9244,2025-05-01 02:20:00,0.1879,深谷
9245,2025-05-01 02:25:00,0.1879,深谷
9246,2025-05-01 02:30:00,0.1879,深谷
9247,2025-05-01 02:35:00,0.1879,深谷
9248,2025-05-01 02:40:00,0.1879,深谷
9249,2025-05-01 02:45:00,0.1879,深谷
9250,2025-05-01 02:50:00,0.1879,深谷
9251,2025-05-01 02:55:00,0.1879,深谷
9252,2025-05-01 03:00:00,0.1879,深谷
9253,2025-05-01 03:05:00,0.1879,深谷
9254,2025-05-01 03:10:00,0.1879,深谷
9255,2025-05-01 03:15:00,0.1879,深谷
9256,2025-05-01 03:20:00,0.1879,深谷
9257,2025-05-01 03:25:00,0.1879,深谷
9258,2025-05-01 03:30:00,0.1879,深谷
9259,2025-05-01 03:35:00,0.1879,深谷
9260,2025-05-01 03:40:00,0.1879,深谷
9261,2025-05-01 03:45:00,0.1879,深谷
9262,2025-05-01 03:50:00,0.1879,深谷
9263,2025-05-01 03:55:00,0.1879,深谷
9264,2025-05-01 04:00:00,0.1879,深谷
9265,2025-05-01 04:05:00,0.1879,深谷
9266,2025-05-01 04:10:00,0.1879,深谷
9267,2025-05-01 04:15:00,0.1879,深谷
9268,2025-05-01 04:20:00,0.1879,深谷
9269,2025-05-01 04:25:00,0.1879,深谷
9270,2025-05-01 04:30:00,0.1879,深谷
9271,2025-05-01 04:35:00,0.1879,深谷
9272,2025-05-01 04:40:00,0.1879,深谷
9273,2025-05-01 04:45:00,0.1879,深谷
9274,2025-05-01 04:50:00,0.1879,深谷
9275,2025-05-01 04:55:00,0.1879,深谷
9276,2025-05-01 05:00:00,0.1879,深谷
9277,2025-05-01 05:05:00,0.1879,深谷
9278,2025-05-01 05:10:00,0.1879,深谷
9279,2025-05-01 05:15:00,0.1879,深谷
9280,2025-05-01 05:20:00,0.1879,深谷
9281,2025-05-01 05:25:00,0.1879,深谷
9282,2025-05-01 05:30:00,0.1879,深谷
9283,2025-05-01 05:35:00,0.1879,深谷
9284,2025-05-01 05:40:00,0.1879,深谷
9285,2025-05-01 05:45:00,0.1879,深谷
9286,2025-05-01 05:50:00,0.1879,深谷
9287,2025-05-01 05:55:00,0.1879,深谷
9288,2025-05-01 06:00:00,0.6369,平
9289,2025-05-01 06:05:00,0.6369,平
9290,2025-05-01 06:10:00,0.6369,平
9291,2025-05-01 06:15:00,0.6369,平
9292,2025-05-01 06:20:00,0.6369,平
9293,2025-05-01 06:25:00,0.6369,平
9294,2025-05-01 06:30:00,0.6369,平
9295,2025-05-01 06:35:00,0.6369,平
9296,2025-05-01 06:40:00,0.6369,平
9297,2025-05-01 06:45:00,0.6369,平
9298,2025-05-01 06:50:00,0.6369,平
9299,2025-05-01 06:55:00,0.6369,平
9300,2025-05-01 07:00:00,0.6369,平
9301,2025-05-01 07:05:00,0.6369,平
9302,2025-05-01 07:10:00,0.6369,平
9303,2025-05-01 07:15:00,0.6369,平
9304,2025-05-01 07:20:00,0.6369,平
9305,2025-05-01 07:25:00,0.6369,平
9306,2025-05-01 07:30:00,0.6369,平
9307,2025-05-01 07:35:00,0.6369,平
9308,2025-05-01 07:40:00,0.6369,平
9309,2025-05-01 07:45:00,0.6369,平
9310,2025-05-01 07:50:00,0.6369,平
9311,2025-05-01 07:55:00,0.6369,平
9312,2025-05-01 08:00:00,0.9736,峰
9313,2025-05-01 08:05:00,0.9736,峰
9314,2025-05-01 08:10:00,0.9736,峰
