,power_opt,time
2025-05-01 00:00:00,-1875.861,2025-05-01 00:00:00
2025-05-01 00:05:00,-1815.871,2025-05-01 00:05:00
2025-05-01 00:10:00,-1871.841,2025-05-01 00:10:00
2025-05-01 00:15:00,-1843.861,2025-05-01 00:15:00
2025-05-01 00:20:00,-1811.861,2025-05-01 00:20:00
2025-05-01 00:25:00,-1843.871,2025-05-01 00:25:00
2025-05-01 00:30:00,-1867.861,2025-05-01 00:30:00
2025-05-01 00:35:00,-1935.861,2025-05-01 00:35:00
2025-05-01 00:40:00,-1827.811,2025-05-01 00:40:00
2025-05-01 00:45:00,-1943.851,2025-05-01 00:45:00
2025-05-01 00:50:00,-1923.861,2025-05-01 00:50:00
2025-05-01 00:55:00,-1939.831,2025-05-01 00:55:00
2025-05-01 01:00:00,-1867.841,2025-05-01 01:00:00
2025-05-01 01:05:00,-1919.811,2025-05-01 01:05:00
2025-05-01 01:10:00,-1851.831,2025-05-01 01:10:00
2025-05-01 01:15:00,-1823.851,2025-05-01 01:15:00
2025-05-01 01:20:00,-1931.821,2025-05-01 01:20:00
2025-05-01 01:25:00,-1899.851,2025-05-01 01:25:00
2025-05-01 01:30:00,-1887.831,2025-05-01 01:30:00
2025-05-01 01:35:00,-1935.831,2025-05-01 01:35:00
2025-05-01 01:40:00,-1891.821,2025-05-01 01:40:00
2025-05-01 01:45:00,-1923.871,2025-05-01 01:45:00
2025-05-01 01:50:00,-1983.861,2025-05-01 01:50:00
2025-05-01 01:55:00,-1923.841,2025-05-01 01:55:00
2025-05-01 02:00:00,-2011.831,2025-05-01 02:00:00
2025-05-01 02:05:00,-1991.841,2025-05-01 02:05:00
2025-05-01 02:10:00,-2083.851,2025-05-01 02:10:00
2025-05-01 02:15:00,-1983.831,2025-05-01 02:15:00
2025-05-01 02:20:00,-2011.811,2025-05-01 02:20:00
2025-05-01 02:25:00,-1975.861,2025-05-01 02:25:00
2025-05-01 02:30:00,-2031.841,2025-05-01 02:30:00
2025-05-01 02:35:00,-2115.831,2025-05-01 02:35:00
2025-05-01 02:40:00,-2159.861,2025-05-01 02:40:00
2025-05-01 02:45:00,-2043.811,2025-05-01 02:45:00
2025-05-01 02:50:00,-1927.841,2025-05-01 02:50:00
2025-05-01 02:55:00,-1907.841,2025-05-01 02:55:00
2025-05-01 03:00:00,-1851.861,2025-05-01 03:00:00
2025-05-01 03:05:00,-1943.851,2025-05-01 03:05:00
2025-05-01 03:10:00,-1791.891,2025-05-01 03:10:00
2025-05-01 03:15:00,-1867.871,2025-05-01 03:15:00
2025-05-01 03:20:00,-1935.811,2025-05-01 03:20:00
2025-05-01 03:25:00,-1855.841,2025-05-01 03:25:00
2025-05-01 03:30:00,-1883.871,2025-05-01 03:30:00
2025-05-01 03:35:00,-1955.851,2025-05-01 03:35:00
2025-05-01 03:40:00,-1895.861,2025-05-01 03:40:00
2025-05-01 03:45:00,-1887.871,2025-05-01 03:45:00
2025-05-01 03:50:00,-1911.861,2025-05-01 03:50:00
2025-05-01 03:55:00,-1891.851,2025-05-01 03:55:00
2025-05-01 04:00:00,-1895.861,2025-05-01 04:00:00
2025-05-01 04:05:00,-1931.851,2025-05-01 04:05:00
2025-05-01 04:10:00,-1927.851,2025-05-01 04:10:00
2025-05-01 04:15:00,-2155.851,2025-05-01 04:15:00
2025-05-01 04:20:00,-2191.851,2025-05-01 04:20:00
2025-05-01 04:25:00,-1939.831,2025-05-01 04:25:00
2025-05-01 04:30:00,-1915.841,2025-05-01 04:30:00
2025-05-01 04:35:00,-1875.871,2025-05-01 04:35:00
2025-05-01 04:40:00,-1919.871,2025-05-01 04:40:00
2025-05-01 04:45:00,-1907.791,2025-05-01 04:45:00
2025-05-01 04:50:00,-1899.841,2025-05-01 04:50:00
2025-05-01 04:55:00,-1995.831,2025-05-01 04:55:00
2025-05-01 05:00:00,-1907.881,2025-05-01 05:00:00
2025-05-01 05:05:00,-1891.831,2025-05-01 05:05:00
2025-05-01 05:10:00,-1855.841,2025-05-01 05:10:00
2025-05-01 05:15:00,-1919.871,2025-05-01 05:15:00
2025-05-01 05:20:00,-1951.851,2025-05-01 05:20:00
2025-05-01 05:25:00,-1931.861,2025-05-01 05:25:00
2025-05-01 05:30:00,-1931.831,2025-05-01 05:30:00
2025-05-01 05:35:00,-1967.871,2025-05-01 05:35:00
2025-05-01 05:40:00,-2075.831,2025-05-01 05:40:00
2025-05-01 05:45:00,-2003.831,2025-05-01 05:45:00
2025-05-01 05:50:00,-2051.841,2025-05-01 05:50:00
2025-05-01 05:55:00,-1995.831,2025-05-01 05:55:00
2025-05-01 06:00:00,-253.723,2025-05-01 06:00:00
2025-05-01 06:05:00,-253.721,2025-05-01 06:05:00
2025-05-01 06:10:00,-253.72,2025-05-01 06:10:00
2025-05-01 06:15:00,-253.718,2025-05-01 06:15:00
2025-05-01 06:20:00,-253.714,2025-05-01 06:20:00
2025-05-01 06:25:00,-253.711,2025-05-01 06:25:00
2025-05-01 06:30:00,-253.706,2025-05-01 06:30:00
2025-05-01 06:35:00,-253.7,2025-05-01 06:35:00
2025-05-01 06:40:00,-253.695,2025-05-01 06:40:00
2025-05-01 06:45:00,-253.69,2025-05-01 06:45:00
2025-05-01 06:50:00,-253.683,2025-05-01 06:50:00
2025-05-01 06:55:00,-253.675,2025-05-01 06:55:00
2025-05-01 07:00:00,-253.671,2025-05-01 07:00:00
2025-05-01 07:05:00,-253.664,2025-05-01 07:05:00
2025-05-01 07:10:00,-253.661,2025-05-01 07:10:00
2025-05-01 07:15:00,-253.654,2025-05-01 07:15:00
2025-05-01 07:20:00,-253.646,2025-05-01 07:20:00
2025-05-01 07:25:00,-253.643,2025-05-01 07:25:00
2025-05-01 07:30:00,-253.637,2025-05-01 07:30:00
2025-05-01 07:35:00,-253.635,2025-05-01 07:35:00
2025-05-01 07:40:00,-253.63,2025-05-01 07:40:00
2025-05-01 07:45:00,-253.616,2025-05-01 07:45:00
2025-05-01 07:50:00,-253.598,2025-05-01 07:50:00
2025-05-01 07:55:00,-253.571,2025-05-01 07:55:00
2025-05-01 08:00:00,9000.0,2025-05-01 08:00:00
2025-05-01 08:05:00,9000.0,2025-05-01 08:05:00
2025-05-01 08:10:00,9000.0,2025-05-01 08:10:00
2025-05-01 08:15:00,9000.0,2025-05-01 08:15:00
2025-05-01 08:20:00,9000.0,2025-05-01 08:20:00
2025-05-01 08:25:00,9000.0,2025-05-01 08:25:00
2025-05-01 08:30:00,9000.0,2025-05-01 08:30:00
2025-05-01 08:35:00,9000.0,2025-05-01 08:35:00
2025-05-01 08:40:00,9000.0,2025-05-01 08:40:00
2025-05-01 08:45:00,9000.0,2025-05-01 08:45:00
2025-05-01 08:50:00,9000.0,2025-05-01 08:50:00
2025-05-01 08:55:00,9000.0,2025-05-01 08:55:00
2025-05-01 09:00:00,9000.0,2025-05-01 09:00:00
2025-05-01 09:05:00,9000.0,2025-05-01 09:05:00
2025-05-01 09:10:00,9000.0,2025-05-01 09:10:00
2025-05-01 09:15:00,9000.0,2025-05-01 09:15:00
2025-05-01 09:20:00,9000.0,2025-05-01 09:20:00
2025-05-01 09:25:00,9000.0,2025-05-01 09:25:00
2025-05-01 09:30:00,9000.0,2025-05-01 09:30:00
2025-05-01 09:35:00,9000.0,2025-05-01 09:35:00
2025-05-01 09:40:00,9000.0,2025-05-01 09:40:00
2025-05-01 09:45:00,5940.0,2025-05-01 09:45:00
2025-05-01 09:50:00,0.0,2025-05-01 09:50:00
2025-05-01 09:55:00,0.0,2025-05-01 09:55:00
2025-05-01 10:00:00,0.0,2025-05-01 10:00:00
2025-05-01 10:05:00,0.0,2025-05-01 10:05:00
2025-05-01 10:10:00,0.0,2025-05-01 10:10:00
2025-05-01 10:15:00,0.0,2025-05-01 10:15:00
2025-05-01 10:20:00,0.0,2025-05-01 10:20:00
2025-05-01 10:25:00,0.0,2025-05-01 10:25:00
2025-05-01 10:30:00,0.0,2025-05-01 10:30:00
2025-05-01 10:35:00,0.0,2025-05-01 10:35:00
2025-05-01 10:40:00,0.0,2025-05-01 10:40:00
2025-05-01 10:45:00,0.0,2025-05-01 10:45:00
2025-05-01 10:50:00,0.0,2025-05-01 10:50:00
2025-05-01 10:55:00,0.0,2025-05-01 10:55:00
2025-05-01 11:00:00,-2171.841,2025-05-01 11:00:00
2025-05-01 11:05:00,-2219.811,2025-05-01 11:05:00
2025-05-01 11:10:00,-2087.801,2025-05-01 11:10:00
2025-05-01 11:15:00,-2195.821,2025-05-01 11:15:00
2025-05-01 11:20:00,-2099.851,2025-05-01 11:20:00
2025-05-01 11:25:00,-2155.851,2025-05-01 11:25:00
2025-05-01 11:30:00,-2191.861,2025-05-01 11:30:00
2025-05-01 11:35:00,-2127.871,2025-05-01 11:35:00
2025-05-01 11:40:00,-2147.831,2025-05-01 11:40:00
2025-05-01 11:45:00,-2243.851,2025-05-01 11:45:00
2025-05-01 11:50:00,-2207.831,2025-05-01 11:50:00
2025-05-01 11:55:00,-2239.791,2025-05-01 11:55:00
2025-05-01 12:00:00,-2083.831,2025-05-01 12:00:00
2025-05-01 12:05:00,-2135.871,2025-05-01 12:05:00
2025-05-01 12:10:00,-2055.861,2025-05-01 12:10:00
2025-05-01 12:15:00,-1995.821,2025-05-01 12:15:00
2025-05-01 12:20:00,-2115.821,2025-05-01 12:20:00
2025-05-01 12:25:00,-2147.881,2025-05-01 12:25:00
2025-05-01 12:30:00,-2143.831,2025-05-01 12:30:00
2025-05-01 12:35:00,-2119.841,2025-05-01 12:35:00
2025-05-01 12:40:00,-1915.861,2025-05-01 12:40:00
2025-05-01 12:45:00,-1803.821,2025-05-01 12:45:00
2025-05-01 12:50:00,-1783.821,2025-05-01 12:50:00
