,power_opt,time
2025/5/1 0:00,-2201.087,2025/5/1 0:00
2025/5/1 0:05,-2201.087,2025/5/1 0:05
2025/5/1 0:10,-2201.087,2025/5/1 0:10
2025/5/1 0:15,-2201.087,2025/5/1 0:15
2025/5/1 0:20,-2201.087,2025/5/1 0:20
2025/5/1 0:25,-2201.087,2025/5/1 0:25
2025/5/1 0:30,-2201.087,2025/5/1 0:30
2025/5/1 0:35,-2201.087,2025/5/1 0:35
2025/5/1 0:40,-2201.087,2025/5/1 0:40
2025/5/1 0:45,-2201.087,2025/5/1 0:45
2025/5/1 0:50,-2201.087,2025/5/1 0:50
2025/5/1 0:55,-2201.087,2025/5/1 0:55
2025/5/1 1:00,-2201.087,2025/5/1 1:00
2025/5/1 1:05,-2201.087,2025/5/1 1:05
2025/5/1 1:10,-2201.087,2025/5/1 1:10
2025/5/1 1:15,-2201.087,2025/5/1 1:15
2025/5/1 1:20,-2201.087,2025/5/1 1:20
2025/5/1 1:25,-2201.087,2025/5/1 1:25
2025/5/1 1:30,-2201.087,2025/5/1 1:30
2025/5/1 1:35,-2201.087,2025/5/1 1:35
2025/5/1 1:40,-2201.087,2025/5/1 1:40
2025/5/1 1:45,-2201.087,2025/5/1 1:45
2025/5/1 1:50,-2201.087,2025/5/1 1:50
2025/5/1 1:55,-2201.087,2025/5/1 1:55
2025/5/1 2:00,-2201.087,2025/5/1 2:00
2025/5/1 2:05,-2201.087,2025/5/1 2:05
2025/5/1 2:10,-2201.087,2025/5/1 2:10
2025/5/1 2:15,-2201.087,2025/5/1 2:15
2025/5/1 2:20,-2201.087,2025/5/1 2:20
2025/5/1 2:25,-2201.087,2025/5/1 2:25
2025/5/1 2:30,-2201.087,2025/5/1 2:30
2025/5/1 2:35,-2201.087,2025/5/1 2:35
2025/5/1 2:40,-2201.087,2025/5/1 2:40
2025/5/1 2:45,-2201.087,2025/5/1 2:45
2025/5/1 2:50,-2201.087,2025/5/1 2:50
2025/5/1 2:55,-2201.087,2025/5/1 2:55
2025/5/1 3:00,-2201.087,2025/5/1 3:00
2025/5/1 3:05,-2201.087,2025/5/1 3:05
2025/5/1 3:10,-2201.087,2025/5/1 3:10
2025/5/1 3:15,-2201.087,2025/5/1 3:15
2025/5/1 3:20,-2201.087,2025/5/1 3:20
2025/5/1 3:25,-2201.087,2025/5/1 3:25
2025/5/1 3:30,-2201.087,2025/5/1 3:30
2025/5/1 3:35,-2201.087,2025/5/1 3:35
2025/5/1 3:40,-2201.087,2025/5/1 3:40
2025/5/1 3:45,-2201.087,2025/5/1 3:45
2025/5/1 3:50,-2201.087,2025/5/1 3:50
2025/5/1 3:55,-2201.087,2025/5/1 3:55
2025/5/1 4:00,-2201.087,2025/5/1 4:00
2025/5/1 4:05,-2201.087,2025/5/1 4:05
2025/5/1 4:10,-2201.087,2025/5/1 4:10
2025/5/1 4:15,-2201.087,2025/5/1 4:15
2025/5/1 4:20,-2201.087,2025/5/1 4:20
2025/5/1 4:25,-2201.087,2025/5/1 4:25
2025/5/1 4:30,-2201.087,2025/5/1 4:30
2025/5/1 4:35,-2201.087,2025/5/1 4:35
2025/5/1 4:40,-2201.087,2025/5/1 4:40
2025/5/1 4:45,-2201.087,2025/5/1 4:45
2025/5/1 4:50,-2201.087,2025/5/1 4:50
2025/5/1 4:55,-2201.087,2025/5/1 4:55
2025/5/1 5:00,-2201.087,2025/5/1 5:00
2025/5/1 5:05,-2201.087,2025/5/1 5:05
2025/5/1 5:10,-2201.087,2025/5/1 5:10
2025/5/1 5:15,-2201.087,2025/5/1 5:15
2025/5/1 5:20,-2201.087,2025/5/1 5:20
2025/5/1 5:25,-2201.087,2025/5/1 5:25
2025/5/1 5:30,-2201.087,2025/5/1 5:30
2025/5/1 5:35,-2201.087,2025/5/1 5:35
2025/5/1 5:40,-2201.087,2025/5/1 5:40
2025/5/1 5:45,-2201.087,2025/5/1 5:45
2025/5/1 5:50,-2201.087,2025/5/1 5:50
2025/5/1 5:55,-2201.087,2025/5/1 5:55
2025/5/1 6:00,0,2025/5/1 6:00
2025/5/1 6:05,0,2025/5/1 6:05
2025/5/1 6:10,0,2025/5/1 6:10
2025/5/1 6:15,0,2025/5/1 6:15
2025/5/1 6:20,0,2025/5/1 6:20
2025/5/1 6:25,0,2025/5/1 6:25
2025/5/1 6:30,0,2025/5/1 6:30
2025/5/1 6:35,0,2025/5/1 6:35
2025/5/1 6:40,0,2025/5/1 6:40
2025/5/1 6:45,0,2025/5/1 6:45
2025/5/1 6:50,0,2025/5/1 6:50
2025/5/1 6:55,0,2025/5/1 6:55
2025/5/1 7:00,0,2025/5/1 7:00
2025/5/1 7:05,0,2025/5/1 7:05
2025/5/1 7:10,0,2025/5/1 7:10
2025/5/1 7:15,0,2025/5/1 7:15
2025/5/1 7:20,0,2025/5/1 7:20
2025/5/1 7:25,0,2025/5/1 7:25
2025/5/1 7:30,0,2025/5/1 7:30
2025/5/1 7:35,0,2025/5/1 7:35
2025/5/1 7:40,0,2025/5/1 7:40
