time,power_opt,time
2024-07-01 00:00:00,0.0,2024-07-01 00:00:00
2024-07-01 00:15:00,0.0,2024-07-01 00:15:00
2024-07-01 00:30:00,0.0,2024-07-01 00:30:00
2024-07-01 00:45:00,0.0,2024-07-01 00:45:00
2024-07-01 01:00:00,0.0,2024-07-01 01:00:00
2024-07-01 01:15:00,0.0,2024-07-01 01:15:00
2024-07-01 01:30:00,0.0,2024-07-01 01:30:00
2024-07-01 01:45:00,0.0,2024-07-01 01:45:00
2024-07-01 02:00:00,-285.277,2024-07-01 02:00:00
2024-07-01 02:15:00,-207.477,2024-07-01 02:15:00
2024-07-01 02:30:00,-166.442,2024-07-01 02:30:00
2024-07-01 02:45:00,-158.702,2024-07-01 02:45:00
2024-07-01 03:00:00,-135.707,2024-07-01 03:00:00
2024-07-01 03:15:00,-123.751,2024-07-01 03:15:00
2024-07-01 03:30:00,-123.839,2024-07-01 03:30:00
2024-07-01 03:45:00,-105.555,2024-07-01 03:45:00
2024-07-01 04:00:00,-103.52,2024-07-01 04:00:00
2024-07-01 04:15:00,-103.485,2024-07-01 04:15:00
2024-07-01 04:30:00,-103.539,2024-07-01 04:30:00
2024-07-01 04:45:00,-98.432,2024-07-01 04:45:00
2024-07-01 05:00:00,-95.425,2024-07-01 05:00:00
2024-07-01 05:15:00,-102.295,2024-07-01 05:15:00
2024-07-01 05:30:00,-98.926,2024-07-01 05:30:00
2024-07-01 05:45:00,-100.801,2024-07-01 05:45:00
2024-07-01 06:00:00,-102.412,2024-07-01 06:00:00
2024-07-01 06:15:00,-106.03,2024-07-01 06:15:00
2024-07-01 06:30:00,-106.829,2024-07-01 06:30:00
2024-07-01 06:45:00,-115.405,2024-07-01 06:45:00
2024-07-01 07:00:00,-116.015,2024-07-01 07:00:00
2024-07-01 07:15:00,-121.26,2024-07-01 07:15:00
2024-07-01 07:30:00,-123.74,2024-07-01 07:30:00
2024-07-01 07:45:00,-147.179,2024-07-01 07:45:00
2024-07-01 08:00:00,-158.167,2024-07-01 08:00:00
2024-07-01 08:15:00,-184.723,2024-07-01 08:15:00
2024-07-01 08:30:00,-219.209,2024-07-01 08:30:00
2024-07-01 08:45:00,-298.943,2024-07-01 08:45:00
2024-07-01 09:00:00,10.102,2024-07-01 09:00:00
2024-07-01 09:15:00,401.606,2024-07-01 09:15:00
2024-07-01 09:30:00,495.558,2024-07-01 09:30:00
2024-07-01 09:45:00,497.624,2024-07-01 09:45:00
2024-07-01 10:00:00,498.398,2024-07-01 10:00:00
