,实际放电小时数,实际充电小时数,等效放电小时数,等效充电小时数
2024-07,4.169354838709677,6.75,2.4390026193548384,2.790620845943751
2024-08,4.330645161290323,6.870967741935484,2.3746622045161283,2.7170048106591866
2024-09,3.908333333333333,5.341666666666667,2.78250130072,3.1836399321739126
2024-10,4.42741935483871,8.338709677419354,3.5180360774193544,4.025212903225806
2024-11,4.025,5.683333333333334,3.555122746666666,4.067646163234172
2024-12,3.903225806451613,7.209677419354839,2.5651558580645157,2.934960986461948
2025-01,3.7016129032258065,6.0,2.857803494296774,3.269797997933122
2025-02,4.625,5.5625,3.3818505285714275,3.8693941974501476
2025-03,4.580645161290323,6.07258064516129,3.4267887483870965,3.9208109249280287
2025-04,4.158333333333333,7.775,3.4715094215466653,3.9719787431884064
2025-05,4.620967741935484,7.991935483870968,3.433733998245161,3.9287574350631136
2025-06,4.366666666666666,7.916666666666667,3.5038891999999993,4.009026544622425
