,year,month,hour,value
0,2024,7,0,-7.6736129032258065
1,2024,7,1,-8.147806451612903
2,2024,7,2,-120.53491129032258
3,2024,7,3,-51.59520161290323
4,2024,7,4,-102.06526612903227
5,2024,7,5,-134.7800806451613
6,2024,7,6,-206.9868629032258
7,2024,7,7,-277.9711935483871
8,2024,7,8,-334.05222580645164
9,2024,7,9,10.452185483870966
10,2024,7,10,317.87308064516134
11,2024,7,11,-184.5505
12,2024,7,12,-200.50079032258066
13,2024,7,13,6.811596774193549
14,2024,7,14,10.87125
15,2024,7,15,15.213145161290322
16,2024,7,16,46.23151612903226
17,2024,7,17,98.54871774193548
18,2024,7,18,33.547459677419354
19,2024,7,19,11.917250000000001
20,2024,7,20,266.02443548387095
21,2024,7,21,357.3423870967742
22,2024,7,22,104.7552258064516
23,2024,7,23,129.50598387096775
24,2024,8,0,0.4253225806451614
25,2024,8,1,-1.0589032258064515
26,2024,8,2,-143.88359677419353
27,2024,8,3,-70.27624999999999
28,2024,8,4,-77.04966935483871
29,2024,8,5,-130.45061290322582
30,2024,8,6,-198.3216935483871
31,2024,8,7,-300.7918467741935
32,2024,8,8,-341.68575000000004
33,2024,8,9,9.49158064516129
34,2024,8,10,311.03321774193546
35,2024,8,11,-187.47274193548387
36,2024,8,12,-172.7871370967742
37,2024,8,13,4.385959677419355
38,2024,8,14,8.843129032258064
39,2024,8,15,7.433790322580645
40,2024,8,16,6.893346774193549
41,2024,8,17,8.101572580645161
42,2024,8,18,-11.897145161290322
43,2024,8,19,-11.131056451612904
44,2024,8,20,472.0489193548387
45,2024,8,21,600.0143548387097
46,2024,8,22,4.322620967741935
47,2024,8,23,-0.15375000000000003
48,2024,9,0,-2.054358333333333
49,2024,9,1,-1.369875
50,2024,9,2,-50.772716666666675
51,2024,9,3,-15.997283333333334
52,2024,9,4,-72.24684166666665
53,2024,9,5,-113.56305833333333
54,2024,9,6,-181.13370833333332
55,2024,9,7,-374.95894166666665
56,2024,9,8,-451.6294833333333
57,2024,9,9,148.3634
58,2024,9,10,457.707475
59,2024,9,11,-346.6078083333333
60,2024,9,12,-347.510525
61,2024,9,13,3.6984
62,2024,9,14,-0.8575250000000001
63,2024,9,15,5.929783333333333
64,2024,9,16,168.96210000000002
65,2024,9,17,418.0734333333333
66,2024,9,18,195.91792500000003
67,2024,9,19,40.47284166666667
68,2024,9,20,115.68139166666667
69,2024,9,21,72.43481666666666
70,2024,9,22,24.257625
71,2024,9,23,56.4921
72,2024,10,0,-56.09817741935484
73,2024,10,1,-41.99868548387097
