,year,month,hour,value
0,2025,1,0,-259.49200806451614
1,2025,1,1,-460.63921774193545
2,2025,1,2,-546.0399274193549
3,2025,1,3,-493.8400967741935
4,2025,1,4,-924.9456370967742
5,2025,1,5,-1206.1187903225807
6,2025,1,6,-13.921798387096773
7,2025,1,7,33.75893548387097
8,2025,1,8,126.38704032258065
9,2025,1,9,245.44550806451613
10,2025,1,10,461.38154032258063
11,2025,1,11,602.8796370967742
12,2025,1,12,-1121.8260483870968
13,2025,1,13,-1072.8009596774193
14,2025,1,14,-180.97271774193547
15,2025,1,15,264.3344677419355
16,2025,1,16,274.22377419354837
17,2025,1,17,189.64454838709676
18,2025,1,18,173.34584677419355
19,2025,1,19,1468.3342983870969
20,2025,1,20,1639.1838709677418
21,2025,1,21,140.21320161290325
22,2025,1,22,183.07105645161292
23,2025,1,23,-417.70460483870966
24,2025,2,0,-583.1039910714286
25,2025,2,1,-408.38547321428575
26,2025,2,2,-471.1889821428571
27,2025,2,3,-631.5825267857143
28,2025,2,4,-807.5744732142857
29,2025,2,5,-1212.8798660714288
30,2025,2,6,1361.3464285714285
31,2025,2,7,1401.6619285714285
32,2025,2,8,-204.2025892857143
33,2025,2,9,-42.72966071428572
34,2025,2,10,454.48625
35,2025,2,11,-1098.7591964285714
36,2025,2,12,-1037.3474732142856
37,2025,2,13,-1164.8966964285714
38,2025,2,14,-152.3937857142857
39,2025,2,15,-52.10046428571429
40,2025,2,16,295.8535714285714
41,2025,2,17,940.3251964285715
42,2025,2,18,1284.882392857143
43,2025,2,19,718.9214285714286
44,2025,2,20,418.65714285714284
45,2025,2,21,548.0222053571429
46,2025,2,22,-61.08767857142857
47,2025,2,23,-633.1546875
48,2025,3,0,-461.7865322580645
49,2025,3,1,-421.5450241935484
50,2025,3,2,-481.13186290322585
51,2025,3,3,-753.3825806451613
52,2025,3,4,-1035.5665806451611
53,2025,3,5,-1164.5114838709678
54,2025,3,6,2061.4655000000002
55,2025,3,7,2273.838870967742
56,2025,3,8,-726.2029596774194
57,2025,3,9,-311.9677661290322
58,2025,3,10,-173.35495967741934
59,2025,3,11,-1053.1564596774194
60,2025,3,12,-1265.2651612903226
61,2025,3,13,-1276.9989677419355
62,2025,3,14,-109.52374193548387
63,2025,3,15,-76.49397580645162
64,2025,3,16,792.0451612903227
65,2025,3,17,961.6161290322581
66,2025,3,18,889.6548387096774
67,2025,3,19,575.8387096774194
68,2025,3,20,548.2361854838709
69,2025,3,21,742.8870967741935
70,2025,3,22,-54.293290322580646
71,2025,3,23,-771.4135967741936
72,2025,4,0,-548.9089083333333
73,2025,4,1,-370.1555583333333
74,2025,4,2,-435.96958333333333
75,2025,4,3,-728.8257
76,2025,4,4,-1071.4526666666668
77,2025,4,5,-1225.0976
78,2025,4,6,1926.2634333333333
79,2025,4,7,2289.0789999999997
80,2025,4,8,-726.2255833333332
81,2025,4,9,-463.457275
82,2025,4,10,-129.40215
83,2025,4,11,-1004.7130249999999
84,2025,4,12,-1105.4089166666668
85,2025,4,13,-1087.3222666666668
86,2025,4,14,-227.8176
87,2025,4,15,-111.95064166666666
88,2025,4,16,390.1718666666667
89,2025,4,17,1142.3633333333335
90,2025,4,18,1185.4199999999998
91,2025,4,19,922.7900000000001
92,2025,4,20,407.22
93,2025,4,21,450.3612
94,2025,4,22,-59.05306666666666
95,2025,4,23,-694.67075
96,2025,5,0,-423.27834677419355
97,2025,5,1,-299.9782741935484
98,2025,5,2,-477.49467741935484
99,2025,5,3,-765.0809677419355
100,2025,5,4,-1137.3252983870968
101,2025,5,5,-1204.4874274193548
102,2025,5,6,1703.700927419355
103,2025,5,7,1927.0076693548388
104,2025,5,8,-344.73979838709676
105,2025,5,9,-99.41131451612904
106,2025,5,10,149.48029032258066
107,2025,5,11,-1083.8629838709678
108,2025,5,12,-1193.9342338709678
109,2025,5,13,-1230.1310967741936
110,2025,5,14,-307.2135241935484
111,2025,5,15,-111.04003225806451
112,2025,5,16,386.10653225806453
113,2025,5,17,1190.4563467741934
114,2025,5,18,1177.0967741935483
115,2025,5,19,713.6387096774193
116,2025,5,20,428.0290322580645
117,2025,5,21,588.0865
118,2025,5,22,-58.19879838709677
119,2025,5,23,-765.9196854838709
120,2025,6,0,-386.0099916666667
121,2025,6,1,-446.18810833333333
122,2025,6,2,-504.4268
123,2025,6,3,-771.2707916666666
124,2025,6,4,-1105.0485833333332
125,2025,6,5,-1189.6695083333332
126,2025,6,6,1891.9712583333335
127,2025,6,7,2285.1253083333336
128,2025,6,8,-617.3126
129,2025,6,9,-301.27237499999995
130,2025,6,10,-104.25179166666666
131,2025,6,11,-866.4451666666666
132,2025,6,12,-1207.8595583333333
133,2025,6,13,-1292.2954
134,2025,6,14,-276.1286666666667
135,2025,6,15,-119.59909166666667
136,2025,6,16,593.3502833333333
137,2025,6,17,1272.9140916666665
138,2025,6,18,1015.4899499999999
139,2025,6,19,602.0466666666667
140,2025,6,20,347.7167166666667
141,2025,6,21,672.2833333333333
142,2025,6,22,-57.70019166666667
143,2025,6,23,-694.9720833333333
144,2025,7,0,-29.748387096774195
145,2025,7,1,-21.112508064516128
146,2025,7,2,-770.4812096774193
147,2025,7,3,-519.4382903225807
148,2025,7,4,-498.5014032258064
149,2025,7,5,-414.7328225806452
150,2025,7,6,-607.3683064516129
151,2025,7,7,-1085.3171129032257
152,2025,7,8,-1005.6691451612903
153,2025,7,9,188.24715322580647
154,2025,7,10,1357.269064516129
155,2025,7,11,-994.0379435483871
156,2025,7,12,-977.4032258064516
157,2025,7,13,-6.754838709677419
158,2025,7,14,-5.5799919354838705
159,2025,7,15,-0.4827177419354836
160,2025,7,16,256.88709677419354
161,2025,7,17,368.76774193548385
162,2025,7,18,585.9516129032259
163,2025,7,19,439.844185483871
164,2025,7,20,1296.5800161290322
165,2025,7,21,1321.9032258064517
166,2025,7,22,65.85541935483872
167,2025,7,23,175.47096774193548
168,2025,8,0,9.37949193548387
169,2025,8,1,42.51787903225807
170,2025,8,2,-519.8755403225807
171,2025,8,3,-525.2771290322581
172,2025,8,4,-461.26625
173,2025,8,5,-462.9662580645161
174,2025,8,6,-645.8954758064516
175,2025,8,7,-894.1304516129031
176,2025,8,8,-921.0289274193549
177,2025,8,9,342.27643548387096
178,2025,8,10,622.0289032258065
179,2025,8,11,-588.2155322580645
180,2025,8,12,-701.3085645161291
181,2025,8,13,-12.833806451612906
182,2025,8,14,0.7201693548387117
183,2025,8,15,65.28209677419355
184,2025,8,16,364.3860322580645
185,2025,8,17,330.9639193548387
186,2025,8,18,244.94968548387095
187,2025,8,19,257.5959596774194
188,2025,8,20,967.5335241935485
189,2025,8,21,1055.2260967741936
190,2025,8,22,329.25083064516133
191,2025,8,23,313.20995161290324
192,2025,9,0,-13.888133333333336
193,2025,9,1,-0.6434416666666657
194,2025,9,2,-846.011675
195,2025,9,3,-451.96655
196,2025,9,4,-352.5018166666667
197,2025,9,5,-487.76225
198,2025,9,6,-614.9449000000001
199,2025,9,7,-733.1331250000001
200,2025,9,8,-817.0334666666666
201,2025,9,9,253.48477499999998
202,2025,9,10,494.43645
203,2025,9,11,-445.8078083333333
204,2025,9,12,-556.4545583333334
205,2025,9,13,86.01679166666666
206,2025,9,14,85.196675
207,2025,9,15,107.8649
208,2025,9,16,272.79516666666666
209,2025,9,17,285.77189999999996
210,2025,9,18,373.15659166666666
211,2025,9,19,439.7230333333334
212,2025,9,20,615.7894749999999
213,2025,9,21,706.7341333333334
214,2025,9,22,525.95
215,2025,9,23,370.049175
216,2025,10,0,-418.68827419354835
217,2025,10,1,-374.42457258064513
218,2025,10,2,-331.6950967741936
219,2025,10,3,-363.56304032258066
220,2025,10,4,-457.1217096774194
221,2025,10,5,-762.9109758064516
222,2025,10,6,602.151064516129
223,2025,10,7,611.0317338709677
224,2025,10,8,114.55710483870968
225,2025,10,9,185.27637903225806
226,2025,10,10,228.69284677419355
227,2025,10,11,-651.9838225806452
228,2025,10,12,-660.9552258064516
229,2025,10,13,-850.7920887096774
230,2025,10,14,-362.42437096774194
231,2025,10,15,126.81742741935484
232,2025,10,16,354.5770483870968
233,2025,10,17,458.19315322580644
234,2025,10,18,521.070370967742
235,2025,10,19,686.8628629032257
236,2025,10,20,584.9548467741936
237,2025,10,21,495.73256451612906
238,2025,10,22,105.94929838709677
239,2025,10,23,-649.0882338709678
240,2025,11,0,-508.3768083333333
241,2025,11,1,-436.6226833333333
242,2025,11,2,-411.2978166666666
243,2025,11,3,-744.4273916666666
244,2025,11,4,-992.7920583333332
245,2025,11,5,-1106.2226833333334
246,2025,11,6,1245.9668333333332
247,2025,11,7,1382.2611833333333
248,2025,11,8,-282.51964166666664
249,2025,11,9,-125.951925
250,2025,11,10,182.21335833333333
251,2025,11,11,-862.91045
252,2025,11,12,-889.3674833333333
253,2025,11,13,-963.0629916666666
254,2025,11,14,-54.700624999999995
255,2025,11,15,-53.72826666666666
256,2025,11,16,406.8428
257,2025,11,17,539.7767333333334
258,2025,11,18,1117.9291833333334
259,2025,11,19,1104.0429250000002
260,2025,11,20,597.5871416666666
261,2025,11,21,639.831725
262,2025,11,22,26.50048333333333
263,2025,11,23,-900.8037416666666
264,2025,12,0,-344.07454838709674
265,2025,12,1,-306.45784677419357
266,2025,12,2,-499.57423387096776
267,2025,12,3,-609.397193548387
268,2025,12,4,-761.7313790322581
269,2025,12,5,-911.7460725806451
270,2025,12,6,52.369064516129036
271,2025,12,7,71.80304032258064
272,2025,12,8,125.5741370967742
273,2025,12,9,171.96299193548387
274,2025,12,10,304.1451935483871
275,2025,12,11,512.2317177419355
276,2025,12,12,-847.1636370967742
277,2025,12,13,-776.2895564516128
278,2025,12,14,60.534516129032255
279,2025,12,15,333.1948387096774
280,2025,12,16,598.8850241935484
281,2025,12,17,552.8825806451613
282,2025,12,18,314.44693548387096
283,2025,12,19,548.183064516129
284,2025,12,20,564.3724677419355
285,2025,12,21,290.75468548387096
286,2025,12,22,327.9649274193548
287,2025,12,23,-500.6440887096774
